cause_id,glo_bothsex,glo_male,glo_female,agegroup,year
380,49172,26467,22705,15-29 years,2010
420,127969,0,127969,15-29 years,2010
490,73,45,28,15-29 years,2010
540,8224,3355,4869,15-29 years,2010
610,133319,70684,62635,15-29 years,2010
790,1568,902,666,15-29 years,2010
800,12916,6340,6576,15-29 years,2010
810,19569,9878,9691,15-29 years,2010
820,33749,26665,7084,15-29 years,2010
940,33257,20307,12950,15-29 years,2010
1100,154831,95000,59831,15-29 years,2010
1170,26090,14639,11451,15-29 years,2010
1210,90366,54169,36197,15-29 years,2010
1260,43248,24071,19177,15-29 years,2010
1330,1882,1015,867,15-29 years,2010
1340,5610,1294,4316,15-29 years,2010
1400,21135,11624,9511,15-29 years,2010
1505,0,0,0,15-29 years,2010
1520,606129,474050,132079,15-29 years,2010
1600,405251,298413,106838,15-29 years,2010
0,3138722,945883,2192839,30-49 years,2010
20,860407,310414,549993,30-49 years,2010
380,70867,22705,48162,30-49 years,2010
420,266796,127969,138827,30-49 years,2010
490,48,28,20,30-49 years,2010
540,13302,4869,8433,30-49 years,2010
610,525670,62635,463035,30-49 years,2010
790,3491,666,2825,30-49 years,2010
800,45632,6576,39056,30-49 years,2010
810,25161,9691,15470,30-49 years,2010
820,27655,7084,20571,30-49 years,2010
940,35265,12950,22315,30-49 years,2010
1100,423218,59831,363387,30-49 years,2010
1170,65566,11451,54115,30-49 years,2010
1210,149745,36197,113548,30-49 years,2010
1260,80441,19177,61264,30-49 years,2010
1330,3367,867,2500,30-49 years,2010
1340,13230,4316,8914,30-49 years,2010
1400,17270,9511,7759,30-49 years,2010
1505,0,0,0,30-49 years,2010
1520,301985,132079,169906,30-49 years,2010
1600,209513,106838,102675,30-49 years,2010
0,5464332,3473073,1991259,50-59 years,2010
20,534565,322276,212289,50-59 years,2010
380,127390,81336,46054,50-59 years,2010
420,0,0,0,50-59 years,2010
490,16,10,6,50-59 years,2010
540,13945,7329,6616,50-59 years,2010
610,1375930,793830,582100,50-59 years,2010
790,8218,4729,3489,50-59 years,2010
800,166484,91051,75433,50-59 years,2010
810,23536,12512,11024,50-59 years,2010
820,60098,47317,12781,50-59 years,2010
940,56818,31106,25712,50-59 years,2010
1100,1711453,1137196,574257,50-59 years,2010
1170,273084,171954,101130,50-59 years,2010
1210,399474,278540,120934,50-59 years,2010
1260,161095,91164,69931,50-59 years,2010
1330,6888,3541,3347,50-59 years,2010
1340,10348,3862,6486,50-59 years,2010
1400,5940,3099,2841,50-59 years,2010
1505,0,0,0,50-59 years,2010
1520,371019,274591,96428,50-59 years,2010
1600,157891,117547,40344,50-59 years,2010
0,7534728,4560719,2974009,60-69 years,2010
20,477684,264333,213351,60-69 years,2010
380,212948,127073,85875,60-69 years,2010
420,0,0,0,60-69 years,2010
490,11,7,4,60-69 years,2010
540,21908,11021,10887,60-69 years,2010
610,1848435,1122758,725677,60-69 years,2010
790,14607,8715,5892,60-69 years,2010
800,273584,139090,134494,60-69 years,2010
810,29020,15068,13952,60-69 years,2010
820,35757,27166,8591,60-69 years,2010
940,114522,59877,54645,60-69 years,2010
1100,2745333,1679683,1065650,60-69 years,2010
1170,647346,406073,241273,60-69 years,2010
1210,430106,273243,156863,60-69 years,2010
1260,228993,129387,99606,60-69 years,2010
1330,9627,4983,4644,60-69 years,2010
1340,18173,7286,10887,60-69 years,2010
1400,4343,2194,2149,60-69 years,2010
1505,0,0,0,60-69 years,2010
1520,317620,209678,107942,60-69 years,2010
1600,104526,72974,31552,60-69 years,2010
0,22733857,10900096,11833761,70+ years,2010
20,997011,452538,544473,70+ years,2010
380,943708,458175,485533,70+ years,2010
420,0,0,0,70+ years,2010
490,10,1,9,70+ years,2010
540,99111,42861,56250,70+ years,2010
610,3558486,2007278,1551208,70+ years,2010
790,69323,33777,35546,70+ years,2010
800,589699,255307,334392,70+ years,2010
810,100129,39911,60218,70+ years,2010
820,34251,21451,12800,70+ years,2010
940,1204590,452346,752244,70+ years,2010
1100,10108137,4537108,5571029,70+ years,2010
1170,2613258,1425699,1187559,70+ years,2010
1210,852310,407289,445021,70+ years,2010
