country,sum_pop,male,female,year
Madagascar,26969000,13453000,13516000,2019
Malawi,18629000,9185000,9443000,2019
Malaysia,31950000,16423000,15527000,2019
Maldives,531000,336000,195000,2019
Mali,19658000,9845000,9813000,2019
Malta,440000,221000,220000,2019
Mauritania,4526000,2272000,2254000,2019
Mauritius,1270000,627000,643000,2019
Mexico,127576000,62403000,65172000,2019
Micronesia (Federated States of),114000,58000,56000,2019
Mongolia,3225000,1590000,1635000,2019
Montenegro,628000,311000,317000,2019
Morocco,36472000,18093000,18379000,2019
Mozambique,30366000,14746000,15620000,2019
Myanmar,54045000,26045000,28001000,2019
Namibia,2495000,1209000,1286000,2019
Nepal,28609000,13047000,15562000,2019
Netherlands,17097000,8515000,8582000,2019
New Zealand,4783000,2351000,2432000,2019
Nicaragua,6546000,3226000,3320000,2019
Niger,23311000,11714000,11596000,2019
Nigeria,200964000,101832000,99132000,2019
North Macedonia,2083000,1042000,1041000,2019
Norway,5379000,2717000,2662000,2019
Oman,4975000,3284000,1691000,2019
Pakistan,216565000,111448000,105118000,2019
Panama,4246000,2126000,2120000,2019
Papua New Guinea,8776000,4480000,4296000,2019
